Handle,Command,Title,Body (HTML),Tags,Type,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Vendor,Status,Image Src,Image Position
qaba-kids-seesaw-safe-teeter-totter-2-seats-with-easy-grip-handles-indoor-outdoor-living-room-playroom-backyard-equipment-for-12-48-months-multicolor,MERGE,"Qaba Kids Seesaw Safe Teeter Totter 2 Seats with Easy-Grip Handles Indoor Outdoor Living Room Playroom Backyard Equipment, for 12-48 Months, Multicolor","<p>Sturdy frame, easy-grip handle, and comfortable seat make the seesaw a favorite recreational sport for every fun-loving child aged 12-48 months old. Each seat has a backrest behind it to keep children safe by preventing them from sliding out during movement. This fun animal shape encourages kids to play and teaches them teamwork as they play with others on the seesaw.</p><h3>Features:</h3><ul style='list-style:none;margin-left:15px;'><li>• Made from high quality and durable HDPE</li><li>• Mentally and physically challenging and entertaining your kids</li><li>• Nonslip handle is easier to grasp</li><li>• Assembly is required</li><li>• Easy to clean</li><li>• Assembly required</li></ul><h3> Specification:</h3><ul style='list-style:none;margin-left:15px;'><li>• Material: HDPE, PP</li><li>• Color: yellow, red, blue</li><li>• Overall Dimension:  59'L x 12.5'W x 23.5'H (fully balanced)</li><li>• Seat size: 7'L x 6.75'W</li><li>• Recommended age: 12-48 months old</li><li>• Weight Limit: 44lbs (each side)</li><li>• Certification: SOR</li><li>• Item Label: 344-034</li></ul><h3>Package Includes:</h3><ul style='list-style:none;margin-left:15px;'><li>• 1 x Kids Seesaw</li><li>• 1 x Manual</li></ul>","أرجوحة أطفال, Kids seesaw, መወዛወዝ ህጻናት, لعبة توازن, Balance toy, ሚዛናዊ መጫወቻ, معدات ملعب منزلي, Indoor playground equipment, የቤት ውስጥ መጫወቻ ቦታ, لعبة تعاون, Teamwork toy, የቡድን መጫወቻ, معدات خارجية, Outdoor equipment, የውጪ መሳርያ",Toys & Games,Color,Multi Colour,Size,"59"" x 12.5"" x 23.5""",344-034,82.99,shopify,82,deny,Aosom,active,https://img-us.aosomcdn.com/100/product/2024/03/13/d9F62118e36c14a56.jpg,1
qaba-kids-seesaw-safe-teeter-totter-2-seats-with-easy-grip-handles-indoor-outdoor-living-room-playroom-backyard-equipment-for-12-48-months-multicolor,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2024/03/13/d9F62118e36c14a56.jpg,2
qaba-kids-seesaw-safe-teeter-totter-2-seats-with-easy-grip-handles-indoor-outdoor-living-room-playroom-backyard-equipment-for-12-48-months-multicolor,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2024/03/13/0Hve1818e36c14a56.jpg,3
qaba-kids-seesaw-safe-teeter-totter-2-seats-with-easy-grip-handles-indoor-outdoor-living-room-playroom-backyard-equipment-for-12-48-months-multicolor,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2024/03/13/haZcff18e36c14a56.jpg,4
qaba-kids-seesaw-safe-teeter-totter-2-seats-with-easy-grip-handles-indoor-outdoor-living-room-playroom-backyard-equipment-for-12-48-months-multicolor,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2024/03/13/4EJ54b18e36c14a56.jpg,5
aosom-kids-2-seater-ride-on-car-police-truck-electric-with-led-lights-mp3-for-kids-white,MERGE,Aosom Kids 2 Seater Ride-On Car Police Truck Electric with LED Lights & MP3 for Kids White,"<p>Add a new addition to your kids' garage with this dynamic electric car for kids from Aosom. It features a powerful 12V twin motor along with working headlights and taillights, wing mirrors, steering wheel with music function, 2 lockable doors, dashboard, a trunk storage area, foot pedal, forward and reverses gear, to offer a complete driving experience just like the real deal. 2 wide seats with seat belts allow kids to drive around with their passengers. Sparking imaginative play in children as they ride this realistic police truck.</p><h3>Features:</h3><ul style='list-style:none;margin-left:15px;'><li>• 2 seat ride-on police truck with safety belts for 2 kids ages 3-6 years old</li><li>• Four wheels with spring suspension for a smooth ride</li><li>• Move forward or backward with the gear, pedal to accelerate</li><li>• Pre-installed music and multi-media center or use USB/TF import and Aux cord plug-ins to listen to their favorite song</li><li>• Features a mighty 12V twin motor that provides powerful rear-wheel drive</li><li>• Can be controlled manually or by the remote control</li><li>• Play continually for around 1-2 hours once fully charged</li><li>• Assembly required</li></ul><h3>Specification:</h3><ul style='list-style:none;margin-left:15px;'><li>• Colour: White</li><li>• Material: PP, Metal</li><li>• Overall Dimension: 53.25' L x  33.75' W x 33.5' H</li><li>• Seat Size: 19.75' W x 8'D x 12.25'H</li><li>• Speed: 1.8 - 3.1 mph</li><li>• Weight Capacity: 110lbs</li><li>• Battery: 12V 7AH×1</li><li>• Motor: 12V, 55W x 2</li><li>• Charger: 12V,1000Ma</li><li>• Approved age: 37-96 months</li><li>• Recommended age: 3-6 years</li><li>• Net Weight: 61.6lbs</li><li>Note: always monitor your child while they are riding.</li></ul><h3>Package Includes:</h3><ul style='list-style:none;margin-left:15px;'><li>• 1 x Ride-on car</li><li>• 1 x Manual</li></ul>","أطفال, Kids, ሕጻናት, لعبة سيارة, Toy Car, መኪና መጻወቲ, مقعدان, 2-Seater, ክልተ መንበር, بوليس, Police, ፖሊስ",Toys & Games,Color,White,Size,Large,370-082WT,379.99,shopify,19,deny,Aosom,active,https://img-us.aosomcdn.com/100/product/2025/10/28/IFVf8a19a28936ea7.jpg,1
aosom-kids-2-seater-ride-on-car-police-truck-electric-with-led-lights-mp3-for-kids-white,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/10/28/IFVf8a19a28936ea7.jpg,2
aosom-kids-2-seater-ride-on-car-police-truck-electric-with-led-lights-mp3-for-kids-white,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/10/28/hhq89919a28936ea7.jpg,3
aosom-kids-2-seater-ride-on-car-police-truck-electric-with-led-lights-mp3-for-kids-white,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/10/28/3TU1bb19a28936ea7.jpg,4
aosom-kids-2-seater-ride-on-car-police-truck-electric-with-led-lights-mp3-for-kids-white,MERGE,,,,,,,,,,,,,,Aosom,,https://img-us.aosomcdn.com/100/product/2025/10/28/VYPe8c19a28936ea7.jpg,5
