Type,Identification,Field,Locale,Market,Status,Default content,Translated content
PRODUCT,'11053007437991,title,ti,,,"Commercial Janitorial Cart with 3 Tier Shelves, Professional Cleaning Cart with Rubbish Bag with Lid and Mop Mount for Hotel, Restaurant, Office, Blue","<!-- Start of translation -->
ንግዳዊ ናይ ጽሬት ጋሪ ምስ 3 ደረጃ መደርደሪ፣ ፕሮፌሽናል ናይ ጽሬት ጋሪ ምስ ናይ ጽሬት ከረሽ ምስ መኽደንን ሞፕ መጸንበርን ንሆቴል፣ ምሳሒ ቤት፣ ቤት ጽሕፈት፣ ሰማያዊ
<!-- End of translation -->"
PRODUCT,'11053007437991,body_html,ti,,,"<p>Make your cleaning effective with our janitorial carts on wheels from [BRAND NAME], it offers a commercial-grade cleaning solution for use at hotels, restaurants, offices etc. The rolling cleaning caddy is made of PP plastic, easy to clean. Non-marking casters and anti-slip push handle make this cart simple to move around without noise. With 3-tier shelves, a large PVC trash bag and buckle design, providing professional style quality to make your work easier and cleaner.</p><h3>Features:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• 3-Tier design janitorial caddy features large capacity</li>
<li>• With buckle design to place mops or hang dishcloths and safety signs</li>
<li>• A large PVC trash bin with lid for garbage collection and prevent odors escaping</li>
<li>• Durable PP frame for durable use and easy cleaning</li>
<li>• Mute non-marking casters and anti-slip push handle for easy movement</li>
<li>• This janitorial organizer suits for commercial use, such as hotel, office, restroom</li>
<li>• This janitorial cart with wheels requires assembly</li>
</ul><h3> Specification:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• Colour: Blue</li>
<li>• Material: Plastic</li>
<li>• Overall Dimension: 47.6"" L x 19.9"" W x 39.4"" H (121 x 50.5 x 100 cm)</li>
<li>• Shelf Inner Dimension: 14.6"" L x 12.6"" W x 3.1"" H (37 x 32 x 8 cm)(top), 14.6"" L x 12.6"" W x 1.4"" H (37 x 32 x 3.5 cm)(middle), 29.9"" L x 18.1"" W x 1.4"" H (76 x 46 x 3.5 cm)(bottom)</li>
<li>• Trash Bag Inner Dimension: 15.4"" L x 11.8"" (39 x 30 cm)</li>
<li>• Weight Capacity: 22 lbs. (10 kg)(total)</li>
<li>• Item Label: 720-021</li>
</ul><h3>Package Includes:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• 1 x Janitor cart</li>
<li>• 1 x Trash Bag</li>
<li>• 1 x Manual</li>
</ul>","<p>ንስራሕኩም ውሑስ ንምግባር ካብ [ስም ብራንድ] ዝተሰርሐ ብመንኰራሕርሒ ዝተዳለወ ናይ ጽሬት ጋሪ ብምጥቃም ንሆቴላት፡ ረስቶራንቶት፡ ኦፊሶት ወዘተ. ናይ ንግዲ ደረጃ ናይ ጽሬት ፍታሕ ይህብ እዩ። እዚ ብመንኰራሕርሒ ዝተዳለወ ናይ ጽሬት ጋሪ ካብ ፒፒ ፕላስቲክ ተሰሪሑ፡ ንምጽራይ ቀሊል እዩ። ምልክት ዘይተርፍ መንኰራሕርሒታትን ዘይምስላት ዝሕግዝ ናይ ምምላስ እጀታን ነዚ ጋሪ ብዘይ ድምጺ ንምንቅሳስ ቀሊል ይገብሮ። ሰለስተ ደረጃ መደርደሪ፡ ዓቢ ፒቪሲ ናይ ጽሬት ከረንን ብሽግር ዲዛይንን ስለዘለዎ፡ ንስራሕኩም ቀሊልን ንጹህን ንምግባር ናይ ፕሮፌሽናል ደረጃ ጥራይ ይህብ እዩ።</p><h3>ባህርያት፦</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• ሰለስተ ደረጃ ዲዛይን ዘለዎ ናይ ጽሬት ጋሪ ዓቢ ኣቅም ዘለዎ</li>
<li>• ሞፕስ ንምንባር ወይ ናይ ማይ ጨርቂን ናይ ደህንነት ምልክታትን ንምስቅላል ብሽግር ዲዛይን ዘለዎ</li>
<li>• ንጽሬት ንምእካብን ጨላማ ጨና ንምዕጋትን ክዳን ዘለዎ ዓቢ ፒቪሲ ናይ ጽሬት ቆርበት</li>
<li>• ንዘላዒ ጥቕሚን ቀሊል ጽሬትን ዝሕግዝ ዘላዒ ፒፒ ፍሬም</li>
<li>• ንቀሊል ምንቅሳስ ዝሕግዝ ድምጺ ዘይብሉ ምልክት ዘይተርፍ መንኰራሕርሒታትን ዘይምስላት ናይ ምምላስ እጀታን</li>
<li>• እዚ ናይ ጽሬት መደራረቢ ንንግዲ ኣጠቓቕማ ከም ሆቴል፡ ኦፊስ፡ ሽንቲ ቤት ዝበሉ ቦታታት ይጠቅም</li>
<li>• እዚ ብመንኰራሕርሒ ዝተዳለወ ናይ ጽሬት ጋሪ ምትካል የድሊ</li>
</ul><h3> ዝርዝር መግለጺ፦</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• ሕብሪ፡ ሰማያዊ</li>
<li>• ውሕሱል፡ ፕላስቲክ</li>
<li>•"
PRODUCT,'11053007437991,handle,ti,,,commercial-janitorial-cart-with-professional-cleaning-cart-with-rubbish-bag-with-lid-and-mop-mount-for-hotel-restaurant-office,commercial-janitorial-cart-with-professional-cleaning-cart-with-rubbish-bag-with-lid-and-mop-mount-for-hotel-restaurant-office
PRODUCT,'11053007437991,product_type,ti,,,Home Furnishings,ናይ ገዛ ማሕደሪ ኣቕሑ
PRODUCT,'11053007470759,title,ti,,,"48"" 4-Door Storage Cabinet Multi-Storey Large Space Pantry with Adjustable Shelves Black","48"" 4-ማዕጾ መደርደሪ ካቢኔት ብዙ-ደረጃ ዓቢ ቦታ መጋዘን ምስ ተቐያያሪ መደርደሪ ጸሊም"
PRODUCT,'11053007470759,body_html,ti,,,"<p>This is a practical kitchen storage cabinet from [BRAND NAME], which is very suitable for extra storage areas for the kitchen, porch, bathroom, etc. The height of cabinet is very suitable for access, the inside shelving is reasonable, can be freely adjusted, and effectively improves the space utilization rate. This storage cabinet with doors and shelves is easy to match with other furniture, for you to create a cozy and comfortable atmosphere.</p><h3>Features:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• 2 adjustable and removable shelves in an upper storage cabinet for more flexible storage</li>
<li>• 4 independent doors are controlled separately, each equipped with 1 handle and 2 hinges</li>
<li>• Equipped with the anti-tilt device</li>
<li>• Mainly used for storage and provides storage space for disordered products</li>
<li>• Suitable for use in porch, bathroom, kitchen, tool room, etc</li>
</ul><h3> Specification:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• Colour: Black</li>
<li>• Material: MDF, Particleboard</li>
<li>• Overall Dimension: 23.6"" W x 11.8"" D x 48.4"" H (60 x 30 x 123 cm)</li>
<li>• Upper Cabinet Inner Size: 21.3"" W x 9.8"" D x 9.4""/9.4""/10""H (54 x 25 x 24/24/25.5 cm) (each shelf)</li>
<li>• Lower Cabinet Inner Size: 21.3"" W x 9.8"" D x 13.8"" H (54 x 25 x 35 cm)</li>
<li>• Weight Capacity: 110 lbs/50 kg (total), 22 lbs/10 kg (shelf)</li>
<li>• Item Label: 837-087BK</li>
</ul><h3>Package Includes:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• 1 x Kitchen Pantry Cabinet</li>
<li>• 1 x Manual</li>
</ul>","<p>እዚ ካብ [ስም ብራንድ] ዝተሰርሐ ተግባራዊ ናይ ማዕጾ መደርደሪ ካቢኔት፡ ንኽሽና፡ በረንዳ፡ ሽንት ቤት፡ ወዘተ. ንዝበዝሑ ቦታታት ኣዝዩ ጠቓሚ እዩ። ቁመት ናይዚ ካቢኔት ንምብጻሕ ኣዝዩ ምቹኽ ኮይኑ፡ ኣብ ውሽጡ ዘሎ መደርደሪ ምክንያታዊ እዩ፡ ብነጻ ክትቅይሮ ትኽእል፡ ንውጽኢታዊነት ቦታ ከም ዝዓቢ ይገብር። እዚ ዝዓምቆ መደርደሪ ዘለዎ ካቢኔት ምስ ካልኦት ኣቕሑ ብቐሊሉ ይሰማማዕ፡ ንምፍጣር ምቹኽን ምስታፍን ከባቢ ንምፍጣር ይሕግዝ።</p><h3>ባህርያት፦</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• ኣብ ላዕላይ መደርደሪ ካቢኔት 2 ክትቅይሮን ክትአልዮን ዝኽእል መደርደሪታት፡ ንዝያዳ ተለባሊ መደርደሪ</li>
<li>• 4 ነጻ ዝተፈላለዩ ማዕጾታት ብነጻ ዝቁጻጸሩ፡ ነፍሲ ወከፍ 1 መያዝን 2 ማዕጾ መዘዘንትን ዘለዎም</li>
<li>• ንምክልኻል ዘይምዝባር መሳርሒ ተዳሊኡ</li>
<li>• ብዋናነት ንመደርደሪ ዝጠቅምን ንዘይተሰርዑ ውጽኢታት ቦታ ዝህብን እዩ</li>
<li>• ኣብ በረንዳ፡ ሽንት ቤት፡ ኽሽና፡ መሳርሒ ክፍሊ፡ ወዘተ. ንምጥቃም ዝምችእ እዩ</li>
</ul><h3> ዝርዝር መግለጺ፦</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• ሕብሪ፦ ጸሊም</li>
<li>• ውሕዱ ነገር፦ MDF፡ ፓርቲክልቦርድ</li>
<li>• ልክዕ መጠን፦ 23.6"" ወርዲ x 11.8"" ዕምቆት x 48.4"" ቁመት (60 x 30 x 123 ሳ.ሜ)</li>
<li>• ናይ ላዕላይ ካቢኔት ውሽጣዊ መጠን፦ 21.3"" ወርዲ x 9.8"" ዕምቆት x 9.4""/9.4""/10"" ቁመት (54 x 25 x 24/24/25.5 ሳ.ሜ) (ነፍሲ ወከፍ መደርደሪ)</li>
<li>• ናይ ታሕታይ ካቢኔት ውሽጣዊ መጠን፦ 21.3"" ወርዲ x 9.8"" ዕምቆት x 13.8"" ቁመት (54 x 25 x 35 ሳ.ሜ)</li>
<li>• ዝምዘን ዓቕሚ፦ 110 ፓውንድ/50"
PRODUCT,'11053007470759,handle,ti,,,storage-cabinet-multi-storey-space-pantry-with-adjustable,storage-cabinet-multi-storey-space-pantry-with-adjustable-ክምችት-ካቢኔት-ብዙ-ደብ-ቦታ-መጋዘን-ምስ-ተስተካከለ
PRODUCT,'11053007470759,product_type,ti,,,Home Furnishings,ናይ ገዛ ማሕደሪ ኣቕሑ
PRODUCT,'11053007503527,title,ti,,,"Rolling Kitchen Island with Storage Drawers, Kitchen Cart with Rubber Wood Top, Cabinet & Towel Rack, White",<strong>ክብረት ዘለዎ ኩሽና ደሴት ምስ መደርደሪ መሳልብ፣ ኩሽና ካርት ምስ ራበር ዕጨይ ላዕላይ፣ ካቢኔትን ፎጣ መስቀሊን፣ ጻዕዳ</strong>
PRODUCT,'11053007503527,body_html,ti,,,"<p>This bar cart is an excellent option for your home parties. This kitchen island table offers drawers, an enclosed cabinet, and a towel rack to provide ample space for supplies and accessories. The adjustable shelves let you store different-sized items. Easy-roll wheels allow you to move wherever it is needed most. A two-tone palette naturally is suitable for most home furnishings. Sturdy rubberwood tabletop and MDF panels ensure stability and easy cleaning.</p><h3>Features:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• Two-tone palette naturally goes with your décor</li>
<li>• Two drawers, an enclosed cabinet, and a towel rack for storage</li>
<li>• Four smooth-rolling casters with two locking brakes provide easy mobility</li>
<li>• Solid rubber wood countertop and MDF frame ensure sturdiness and easy cleaning</li>
<li>• Assembly required</li>
</ul><h3>Specification:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• Color: White</li>
<li>• Material: Rubberwood, MDF</li>
<li>• Overall Dimension: 40.9"" L x 18.1"" W x 35.8"" H (104 x 46 x 91 cm)</li>
<li>• Drawer Inner: 14.6"" L x 11.4"" W x 4.5"" H (37 x 29 x 11.5 cm)</li>
<li>• Cabinet Inner: 16.5"" L x 14.6"" W x 23.6"" H (42 x 37 x 60 cm)</li>
<li>• Weight Capacity: 110 lbs. (50 kg) (total), 44 lbs. (20 kg) (top), 17.6 lbs. (8 kg) (Shelf), 11 lbs. (5 kg) (drawer)</li>
<li>• Item Label: 801-203</li>
</ul><h3>Package Includes:</h3><ul style=""list-style:none;margin-left:15px;"">
<li>1 x Kitchen Cart</li>
<li>1 x Manual</li>
</ul>","<p>እዚ ባር ካርት ንናይ ገዛኻ ድግስታት ምሉእ ምርጫ እዩ። እዚ ናይ ክሽነ ደሴት ጣውላ መሳልብታት፡ ዝዕጸወ ካቢኔትን ፎጣ መስቀሊን ስለዘለዎ ንኣቀማምጣ ኣቕሑን መሳርሕታትን ብዙሕ ቦታ ይህብ። እቲ ተመሓያሽ መደርደሪታት ንዝተፈላለየ መጠን ዘለዎም ነገራት ከተኣልብ ይሕግዝ። ቀሊል ምንጋዕ ዘለዎም ዊልሳት ናብቲ ዝምደነሉ ቦታ ክትሰጋገር ይኽእል። ናይ ክልተ ቀለም ስእሊ ብተፈጥሮኡ ምስ መብዛሕትኡ ናይ ገዛ ኣቕሑ ይሰማማዕ። ጽኑዕ ራበርዉድ ጣውላን ኤምዲኤፍ ፓነላትን ምርግጋእን ቀሊል ምጽራይን የረጋግጹ።</p><h3>ባህርያት፦</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• ናይ ክልተ ቀለም ስእሊ ምስ ምኽንያትካ ብተፈጥሮኡ ይሰማማዕ</li>
<li>• ክልተ መሳልብታት፡ ዝዕጸወ ካቢኔትን ፎጣ መስቀሊን ንኣከማምጣ</li>
<li>• ምስ ክልተ መዕጸዊ ብሬክ ዘለዎም ኣርባዕተ ለውዝ ዝንጋዕ ዊልሳት ቀሊል ምንቅስቓስ ይህቡ</li>
<li>• ጽኑዕ ራበርዉድ ካውንተርቶፕን ኤምዲኤፍ ፍሬምን ምርግጋእን ቀሊል ምጽራይን የረጋግጹ</li>
<li>• ምትካል የድሊ</li>
</ul><h3>ዝርዝር መግለጺ፦</h3><ul style=""list-style:none;margin-left:15px;"">
<li>• ቀለም፡ ጻዕዳ</li>
<li>• ውሕሱል፡ ራበርዉድ፡ ኤምዲኤፍ</li>
<li>• ልኡኽ መጠን፡ 40.9"" ንውሓት x 18.1"" ስፍሓት x 35.8"" ቁመት (104 x 46 x 91 ሴ.ሜ)</li>
<li>• ናይ መሳልብ ውሽጢ፡ 14.6"" ንውሓት x 11.4"" ስፍሓት x 4.5"" ቁመት (37 x 29 x 11.5 ሴ.ሜ)</li>
<li>• ናይ ካቢኔት ውሽጢ፡ 16.5"" ንውሓት x 14.6"" ስፍሓት x 23.6"" ቁመት (42 x 37 x 60 ሴ.ሜ)</li>
<li>• ናይ ምጽዋር ዓቕሚ፡ 110 ፓውንድ (50 ኪ.ግ) (ጠቕላላ)፡ 44 ፓውንድ (20 ኪ.ግ) (ላዕላይ)፡ 17.6 ፓውን"
